ID,id_titulo,Título,Subtítulo,Texto da Redação,Competências,Notas das Competências,Comentários das Competências,Nota Final
000001,0001,Qualificação e o futuro do emprego,Qualificações para o mercado de trabalho,"Anos após anos Ano após ano, uma vaga de emprego demandar demanda cada vez mais qualificações do empregado, que que, na maioria das vezes concluíram vezes, concluiu o curso superior e são incapazes é incapaz de trabalha trabalhar nesse ramo e optam opta por um emprego informal. Esse fenômeno ocorre porque o mercado de trabalho se modifica constantemente constantemente, de maneira que algumas profissões são extintas extintas, pois são ocupadas pois suas funções passam a ser realizadas por maquinas máquinas. No O filme ""Estrelas além do Tempo"", de 2016, contar conta a história de três calculadoras humanas matemáticas, que eram muito requisitadas por centros de pesquisa pesquisa, antes dos surgimentos do surgimento das modernas calculadoras eletrônicas e dos computadores. No longa-metragem, vemos a personagem Dorothy Vougham que Vaughn, que, ao saber que a Nasa tinha comprado um novo computador que fazia 24mil cálculos por segundo, o que colocava seu emprego em risco, Dorothy resolveu resolveu aprender a programar esse mesmo computador e ensinar suas companheiras. No mercado de trabalho e é necessário está estar sempre se adaptando adaptando, pois ele e é instável fazendo com que algumas profissões sumam sumam, enquanto novas apareçam como gestores de mídias sociais aparecem, como é o caso dos gestores de mídias sociais.","Demonstrar domínio da norma culta da língua escrita.; Compreender a proposta da redação e aplicar conceito das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo.; Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.; Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.; Elaborar a proposta de solução para o problema abordado, mostrando respeito aos valores humanos e considerando a diversidade sociocultural.",80; 120; 120; 80; 80,"1) O texto é breve e traz uma grande quantidade de erros gramaticais, algum dos quais inaceitáveis para um estudante do Ensino Médio. É o caso do trecho em vermelho no primeiro parágrafo, que não faz muito sentido, do uso incorreto de verbos no infinitivo, da acentuação do verbo ""ser"" na terceira pessoa do singular, no presente do indicativo: é.; 2) Apesar de bem simples, o texto denota uma compreensão do problema e uma tese sobre ele, defendida com um argumento.; 3) A citação do filme é pertinente e deixa ver como o autor soube relacionar ao tema conhecimentos de seu próprio repertório, argumentando, de fato.; 4) A coesão do texto é insuficiente, devido à justaposição de uma introdução problemática, do argumento do segundo parágrafo e da conclusão superficial demais.; 5) O parágrafo conclusivo deixa a desejar, em sua brevidade e superficialidade. Dá a impressão que o autor se cansou e resolveu terminar o texto de qualquer jeito.",480
000002,0002,Carnaval e apropriação cultural,A apropriação cultural e o conhecimento histórico,"No que se refere à apropriação cultural, é possível destacar tanto aspectos positivos quanto negativos. Se por um lado, a interação entre culturas diferentes contribui para o enriquecimento cultural não só do indivíduo, mas também da sociedade; por outro, o uso indevido de adereços de um povo pode causar ainda mais intolerância. Relativo ao apoderamento de outras culturas, a adoção de costumes distintos por um país ajuda a modelar um caráter mais tolerante na sociedade, uma vez que que, ao conhecer a história de um povo povo, pode-se olhar para o mundo por um outro ponto de vista e compreender as suas lutas e dificuldades. No entanto, a apropriação fora de contexto contexto, aliada à ausência de conhecimento histórico histórico, resulta numa maior austeridade entre os grupos culturais, visto que a ignorância de indivíduos faz com que retratem de forma pejorativa os traços culturais de outros povos. Desse modo, é importante que antes de se apropriar de adereços e costumes de uma cultura, as pessoas busquem não só entender o significado, mas também a origem, através de livros e documentários para uma maior flexibilidade e menos preconceito entre culturas diferentes.","Demonstrar domínio da norma culta da língua escrita.; Compreender a proposta da redação e aplicar conceito das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo.; Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.; Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.; Elaborar a proposta de solução para o problema abordado, mostrando respeito aos valores humanos e considerando a diversidade sociocultural.",200; 160; 160; 200; 160,"1) Texto claro, objetivo e sem erros significativos.; 2) Houve compreensão do tema e o desenvolvimento é bom, mas esquemático em excesso. Não é improvável que o autor quisesse ver a nota que obteria, ainda que sem se esforçar demais na produção do texto.; 3) A argumentação é razoável, mas se torna superficial por ter sido desenvolvida sumariamente.; 4) O autor demonstra, ainda que num texto breve, seu domínio dos recursos coesivos.; 5) A conclusão é coerente com a argumentação, mas deixa na mente do leitor uma dúvida: uma pessoa ignorante acerca de cultura indígena não pode se fantasiar de índio. Só quem conhece efetivamente os índios podem usar esse tipo de fantasia? Então, a rigor, só etnólogos e antropólogos poderiam se vestir de índio no carnaval.",880
000003,0002,Carnaval e apropriação cultural,"No mês de fevereiro, muitos países","No mês de fevereiro, muitos países entram no clima de carnaval Carnaval, a festa se caracteriza pelas diversidades pela diversidade de fantasias. No Brasil, entretando entretanto, vem vêm ocorrendo casos de apropriação Cultural sobre das culturas indígenas e africanas. Nesse sentido, covem analisar, tais convém analisar medidas para resolver esse problema. Inicialmente, os brasileiros costumam colocar suas criatividades sua criatividade em prática em fantasias para as festas de carnaval Carnaval. No entanto, é constante são constantes os relatos de apropriação Cultural cultural entre vários grupos sociais em adotar que adotam hábitos, vestuário, objetos ou comportamentos específicos de outra cultura. É inaceitável usar uma Cultura cultura como representação de fantasia. Além disso, um caso clássico que já causou polêmica é o uso do turbante. Atualmente, ele pode ser facilmente comprado em lojas de departamento e visto em desfiles de moda. ou Ou seja, ele se popularizou, foi apropriado pelo mercado. Contudo, para as religioes religiões de matriz africana, esse elemento significa proteção para a cabeça, que é o elemento mais sagrado dentro desta dessa prática religiosa. Vale ressaltar, que ressaltar que, dependendo do modo como ele é colocado, o turbante indica o tempo em que a pessoa está inserida na pratica essa religião. O ministério da cidadania Ministério da Cidadania, portanto, precisa criar um projeto de lei e reforçar nas mídias sobre o uso de atribuir como fantasia a cultura desses povos. É necessário que ocorra a conscientização da sociedade e respeito as às culturas dos indígenas e africanos. Assim, o Brasil se tornará um país mais harmônico.","Demonstrar domínio da norma culta da língua escrita.; Compreender a proposta da redação e aplicar conceito das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo.; Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.; Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.; Elaborar a proposta de solução para o problema abordado, mostrando respeito aos valores humanos e considerando a diversidade sociocultural.",80; 80; 120; 80; 80,"1) O texto apresenta uma grande quantidade de erros gramaticais e problemas linguísticos. No primeiro parágrafo, por exemplo, o autor diz que ""o Carnaval se caracteriza pela diversidade de fantasias"". Ora, essa não é a característica essencial do carnaval. É apenas uma das suas características. Igualmente, falar em ""representação de fantasia"" ou em ""atribuir como fantasia a cultura desses povos"" são expressões vagas, cujo significado preciso não está claro. Finalmente, há um exagero em dizer que o país se tornará mais harmônico se acabarem as apropriações culturais. Muitos outros problemas impedem a harmonia social no Brasil.; 2) O autor abordou parcialmente o tema, pois não discutiu se ocorre ou não apropriação cultural no uso de fantasias indígenas, africanas, etc. Assumiu que a apropriação ocorre e que ela é um fato negativo. Estruturalmente, o autor usou os dois primeiros parágrafos como introdução do tema e restringiu a argumentação ao terceiro parágrafo.; 3) Justamente o terceiro parágrafo é o que há de melhor na redação, pois o autor de fato apresenta um argumento em defesa de seu potno de vista: o de que um símbolo cultural importante não pode ser usado como fantasia.; 4) O uso de recursos coesivos é ruim. Por exemplo, falar em ""tais medidas"" não se justifica, pois o ""tais"" deveria se referir a medidas anteriormente mencionadas e não há nenhuma medida anteriormente mencionada. ""Além disso"" foi usado incorretamente, pois o parágrafo anterior não traz nenhum argumento sobre apropriação cultural. O único argumento está no terceiro parágrafo e, além dele, não há outro argumento.; 5) A conclusão foi prejudicada pelos problemas de linguagem já apontados.; 3)",440
000004,0002,Carnaval e apropriação cultural,Apropriação cultural e atualidades,"É de fundamental importância a valorização da cultura para a formação da identidade de uma região. Mas, comenta-se com frequência, a frequência a respeito da apropriação cultural - julgada inadequada- causada pela falta de conhecimento geral e da influência midiática ou da moda. Ao se examinarem alguns aspectos atuais evidência se atuais, evidencia-se essa aculturação, por exemplo, o uso de turbantes por mulheres brancas, item pertencente a à cultura negra. Muitas dessas mulheres fazem uso desse adereço pela sua estética e não pela história que o mesmo representa. Outro fator existente envolvido nisso é a influência que a moda e a mídia exercem sobre a sociedade, ditam ditando comportamentos, ações e até ideologias. Muitas vezes os indivíduos nem percebem essa influência, levando os mesmos o que os leva a aderirem a características de outras culturas. Levando-se em consideração esses aspectos, conclui-se que a sociedade deve semear o conhecimento sobre sua própria cultura, através do ensino de artes nas escolas, apresentando danças, músicas, personalidades e obras de todas as regiões do país. O governo também pode atuar nesse tema em problema, com incentivos como com a a democratização do acesso a museus, teatros, cinemas, etc. Torna-se perceptível para a população a cultura a que estão inseridos e saberão reconhecer a apropriação cultural e elimina-la eliminá-la quando necessário, valorizando assim, sua cultura e identidade própria.","Demonstrar domínio da norma culta da língua escrita.; Compreender a proposta da redação e aplicar conceito das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo.; Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.; Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.; Elaborar a proposta de solução para o problema abordado, mostrando respeito aos valores humanos e considerando a diversidade sociocultural.",120; 80; 80; 80; 80,Comentários não encontrados,440
000005,0002,Carnaval e apropriação cultural,Representação indígena no meio social,"Apropriação cultural é um termo usado para se referir ao uso de elementos de uma cultura que não é a sua em diferentes contextos, como fez a atriz Alessandra Negrini ao optar por um cocar indígena para desfilar em seu bloco de carnaval. A artista recebeu fortes criticas críticas em suas redes sociais por estar desrespeitando a cultura citada, com a justificativa de que ""índio não é fantasia"". Há diferentes opiniões das tribos em relação ao assunto e muitas delas consideram a representação indígena no carnaval como uma troca cultural e muitas vezes como uma forte critica crítica social ao preconceito sofrido por eles. As festas carnavalescas são parte da identidade cultural do Brasil e trazer visibilidade a situação dos índios por meio delas pode ser a peça chave peça-chave para diminuir o racismo e o preconceito que ainda é muito frequente são muito frequentes na nossa sociedade. É necessário, sobretudo sobretudo, que haja o respeito com as diferentes etnias e que a representação do índio no meio social não seja feita de forma ofensiva e sim como um apoio as às suas necessidades, pois uma identidade cultural não deve ser desvalorizada ou ridicularizada.","Demonstrar domínio da norma culta da língua escrita.; Compreender a proposta da redação e aplicar conceito das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo.; Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.; Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.; Elaborar a proposta de solução para o problema abordado, mostrando respeito aos valores humanos e considerando a diversidade sociocultural.",120; 120; 120; 120; 120,"1) Linguagem clara, com poucos erros, mas excessivamente simples, quase infantil.; 2) Há um entendimento parcial do tema: o autor fez da ""representação indígena"" seu tema, deixando em segundo plano a apropriação cultural.; 3) O texto só se torna argumentativo a partir do terceiro parágrafo e os argumentos apresentados são opinativos, sem apresentar fundamentos objetivos para a opinião do autor.; 4) A coesão se dá mais pelo conteúdo do que pelo uso de nexos linguísticos.; 5) Coesão coerente, mas não chega a apresentar uma sugestão de intervenção.",600
000006,0002,Carnaval e apropriação cultural,A afronta carnavalesca,"Durante a colonização do Brasil, o índio foi sujeito a à imposição portuguesa de forma grotesca que apesar da sua bravura e resistência acabaram sendo contidos e escravizados. Nos dias atuais, depois do romance indianista, tal figura ganhou popularidade e debates nas redes sociais sociais, juntamente com outros símbolos culturais, a fim de que possam esclarecer se é correto o uso de fantasias que não façam parte do seu âmbito cultural. A #índionãoéfantasia ganhou notoriedade quando a indígena Katú Mirim postou um vídeo nas redes sociais afirmando que tal fantasia é desrespeitosa e racista contra o seu povo povo, além de enaltecer o estereótipo do índio folclórico. É nesse período de que que as lojas começam a vender loucamente esse tipo de fantasia e que o brasileiro logo faz uma referência com a colonização e compra na tentativa de homenagear, mas quando perguntam aos ao mesmo, que povos estão sendo homenageado? não saberão responder e logo a fantasia deixa de ser um ""singela homenagem"" para se tornar mais uma peça de roupa que está apenas seguindo o rumo da moda. Essas discursões discussões variam de época para época, não podemos confundir artifícios usados com o objetivo de trocas culturais a exemplo de intercâmbios, com essas tentativas banais semelhantes a de Alessandra Negrini de usar a cultura indígena para a autopromoção. Ainda no mesmo contexto há o ""blackface"", a prática de pessoas fenotipicamente brancas pintarem suas caras com tintas pretas, além da utilização de artifícios afro-americanos afroamericanos como turbantes, perucas blackpower, entre outros, na mesma ideia de homenagear, mas acaba sendo traduzido como apropriação cultural. Diante dos fatos expostos, o homem branco já conquistou muito espaço e interferir dentro da cultura que não lhe pertence é algo inadmissível. Cabe a nós nós, a longo prazo prazo, educarmos as nossas crianças a dar valor a sua cultura e respeitar o espaço onde não lhe representa, a fim de que haja uma harmonia cultural além de repelir o uso exclusivo para a auto exaltação autoexaltação, sem relação com a realidade com a intenção de evitar possíveis afrontas.","Demonstrar domínio da norma culta da língua escrita.; Compreender a proposta da redação e aplicar conceito das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo.; Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.; Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.; Elaborar a proposta de solução para o problema abordado, mostrando respeito aos valores humanos e considerando a diversidade sociocultural.",20; 120; 80; 80; 80,Comentários não encontrados,380
000007,0002,Carnaval e apropriação cultural,Carnaval: uma festa de cultura,"O carnaval é um período de festas. Com festas, com folia, fantasias, desfiles e danças. Entretanto, atualmente tem se tornado tema de debates. O principal questionamento levantado se refere ao uso indevido de símbolos culturais em blocos e escolas de samba. A problemática se desenvolve a partir do preconceito velado e da ignorância presente na sociedade. Uma vez que o problema não está no uso dos símbolos, mas na normalização de atitudes preconceituosas, gerando uma violência disfarçada. Por exemplo exemplo, quando as pessoas vestem adereços e roupas de origem indígena e fazem gestos ridicularizando rituais ou costumes, estão estimulando a imagem de uma cultura selvagem, fora da realidade da ""civilização"", remetendo ao período histórico da colonização. Essa atitude é racista e está ferindo diretamente a identidade de um povo. Podemos ver o mesmo enredo com atos machistas, homofobicos machistas e homofóbicos, dentre outros. O único caminho A única solução para isso é disseminar informação para as pessoas. Cabe mencionar que grande parte da população enxerga a reflexão dos símbolos representados a apropriação cultural como um ato conceito ""politicamente correto"", alegando que o carnaval Carnaval é uma celebração descontraída e não voltada para discussões sociais. Acabamos esquecendo o princípio do respeito ao próximo, do lugar de fala, as das lutas através da e resistência afim a fim de firmar suas identidades sua identidade e a da desconstrução de estereótipos. Precisamos refletir criticamente sobre essas questões, não apenas no carnaval, mas também, ao longo do ano, pois dessa forma teremos o progresso que almejamos, aprendendo que todas as culturas passam por transformações e precisamos valorizar cada uma em sua singularidade. Contudo, urge que o Ministério da Educação, acrescente Educação acrescente na grade curricular das escolas conteúdos mais aprofundados sobre afrodescendência, indígenas, feminismo, histórias das lutas de resistência contra todo tipo de preconceito. Que os alunos possam ter contato não somente teórico, mas prático com a diversidade existente no nosso país, dessa forma também estendendo estendendo isso, também, para a sociedade, através de palestras, investimentos em museus, parques e a da valorização de patrimônios históricos. Para enfim históricos, para, enfim, termos uma sociedade mais tolerante e mais aberta a conhecer a cultura de diferentes grupos.","Demonstrar domínio da norma culta da língua escrita.; Compreender a proposta da redação e aplicar conceito das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo.; Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.; Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.; Elaborar a proposta de solução para o problema abordado, mostrando respeito aos valores humanos e considerando a diversidade sociocultural.",120; 160; 160; 120; 160,"1) Há muitos erros gramaticais e problemas de linguagem: o mais grave é ter jogado para o segundo parágrafo a frase que o inicia (assinalada em vermelho) que pertence, em termos de sintaxe, ao parágrafo anterior.; 2) O autor compreendeu o tema e desenvolveu um texto dissertativo-argumentativo.; 3) A argumentação é muito boa, apesar de um exagero ""politicamente correto"", quando, por exemplo, o autor afirma que o uso de fantasia de índio é uma forma de exaltação do passado colonial, em que o índio era visto (preconceituosamente) como selvagem a ser tratado com violência. Mesmo assim, no parágrafo seguinte, o autor justifica sua perspectiva, fazendo uma ressalva sobre o conceito de correção política, mostrando consciência de possíveis questionamentos à sua argumentação.; 4) O erro apontado no item 1 é também um erro de coesão, por se tratar do uso incorreto da conjunção subordinativa ""uma vez que"".; 5) Conclusão coerente com a argumentação, mas a sugestão de intervenção é padronizada (tomar medidas educacionais). Isso, até certo ponto, pode ser relevado, pois a própria competência 5 induz quem redige a apresentar sugestões para problemas muito complexos.",720
000008,0002,Carnaval e apropriação cultural,Carnaval ou cultura,"O carnaval Carnaval chegou ao Brasil no período colonial assim sendo colonial. Assim sendo, os escravos pintava pintavam os rostos e saiam saíam nas às ruas. Tradicionalmente aos católicos Tradicionalmente, para os católicos, é o marco do início da Quaresma Quaresma, 40 dias segue que seguem até a sexta-feira santa Sexta-feira Santa, dois Dias dias antes da Páscoa. Em primeira análise, o governador Federal o Governo federal libera um valor a para cada estado ao em incentivo à cultura, empresas cultura. Empresas privadas destinam partes parte dos impostos e aplica aplicam em eventos da festa. Em segunda análise análise, a brincadeira que encanta diversos turistas de toda a nação atrai, também a também, grandes riscos de vícios e desidratação aos cidadãos no desfile promovendo postos de ambulâncias e policiamento devida a negligencia devido à negligência humana ocasiona mortes acidentais. Por fim, em 2020, a escola de samba de São Clemente no figurino teve o enredo o Presidente da República, embora o carnavalesco pode-se ser usado para manifestar insatisfações sociais. Então, o MINSTÉRIO DA EDUCAÇÃO Ministério da Educação deve repensar, e assim repensar o evento e, assim, veria que vale mais gastar o dinheiro da festa carnavalesca com criação de mais escolas com qualidade, mais hospitais públicos, investir em saneamento básico e por fim veria que o carnal Carnaval de fato não é o símbolo da nacionalidade brasileira do século XXI.","Demonstrar domínio da norma culta da língua escrita.; Compreender a proposta da redação e aplicar conceito das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo.; Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.; Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.; Elaborar a proposta de solução para o problema abordado, mostrando respeito aos valores humanos e considerando a diversidade sociocultural.",0; 0; 0; 0; 0,Comentários não encontrados,0
000009,0002,Carnaval e apropriação cultural,Monopólio cultural?,"Em meados do século XV a.c., originou-se o alfabeto fenício, primeiro a ser usado em larga escala, originando todos os outros os alfabetos da atualidade. Destacando esse contexto Considerando esse fato, torna-se pertinente destacar abordar a temática de da apropriação cultural, levando em conta fatores como a liberdade individual e as trocas culturais. Primeiramente, entende-se liberdade como o direito de agir segundo o seu livre arbítrio, de acordo com a própria vontade, desde que não prejudique outra pessoa. Tendo em vista isso, descreve-se como expressão da própria liberdade o direito de usar elementos cultural culturais de um povo, desde que não seja com o intuito de ridicularizar ridicularizá-lo e menosprezá-lo. Além disso, evidencia-se a constante miscigenação cultural ocorrida desde os primórdios da colonização brasileira. Nos apropriamos de conhecimentos, hábitos, músicas e de diversos elementos culturais, assim como no caso do alfabeto fenício, por se tratarem tratar de elementos que não se caracterizam como monopólio, ou seja, posse exclusiva ou propriedade de um só. Torna-se necessário, portanto, que o conceito de apropriação cultural seja tratado como processo natural de troca cultural entre a população. Assim, cabe ao governo nacional estabelecer uma nova definição judicial pra para esse termo, e implantar em leis a liberdade de apropriação.","Demonstrar domínio da norma culta da língua escrita.; Compreender a proposta da redação e aplicar conceito das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo.; Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.; Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.; Elaborar a proposta de solução para o problema abordado, mostrando respeito aos valores humanos e considerando a diversidade sociocultural.",160; 160; 120; 120; 120,"1) Texto bem escrito: o autor consegue comunicar suas ideias, apesar de algumas utilizações inadequadas de vocabulário e de deixar certos elementos da argumentação implícitos.; 2) Houve compreensão do tema e uma reflexão argumentativa sobre ele.; 3) O autor começou citando o alfabeto fenício, mas não conseguiu deixar claro o que pretendia dizer com isso: ficou implícito que esse alfabeto deu origem a outros, o que deve ter acontecido por conta de apropriações culturais. Ou seja, com isso, o autor quer mostrar que, desde a Antiguidade, ocorrem trocas e não apropriação nas mais diversas culturas.; 4) Não existem no texto os recursos coesivos necessários para fazer a conexão explícita dos elementos apontados no item anterior.; 5) É um equívoco pensar que o conceito de apropriação cultural é jurídico e que o problema pode ser resolvido com a criação de leis. É esse problema de conteúdo que puxa para baixo a nota desta competência.",680
000010,0002,Carnaval e apropriação cultural,Apropriação cultural: tão necessária quanto natural,"Todos os anos, foliões vão as às ruas fantasiados ou utilizando simbolos símbolos das mais diversas culturas culturas, como a indígena indígena, por exemplo. Uma simples tradição, que que, no entanto entanto, vira polêmica por para aqueles que não aprovam essa prática, alegando ser desrespeitosa e perpetuacão de perpetuar estereótipos, alcunhando a prática alcunhando-a de apropriação cultural. Todavia esses se esquecem que o uso desses símbolos é um fenômeno não apenas natural e espontâneo espontâneo, como também benéfico para uma sociedade. Primeiramente, é importante pontuar que a cultura de um povo não é algo fechado e restrito, pelo contrário, é um processo dinâmico sujeito a mudanças no decorrer do tempo. O intercambio intercâmbio cultural entre povos é um fenômeno que permeou toda a história da civilização. A cultura ocidental é resultados o resultado das trocas culturais que se originaram do no período helenístico. Outro exemplo se dá na formação da rica e diversificada cultura brasileira brasileira, construída sobre o tripé do povo dos povos indígenas, africana e europeia africanos e europeus. Além disso, o uso desses símbolos representa uma forma de preservação da memória histórica de um povo. Durante o carnaval, os blocos de rua e desfiles de escolas de samba cumprem esse papel papel, homenageando as diversas culturas por meio dos figurinos e enredos com mensagens de união e tolerância tolerância, promovendo assim um belo espetáculo. Outro exemplo é a capoeira, uma prática originada dos escravizados escravos que se difundiu no país e hoje representa a luta daquele povo contra o regime escravagista. Dessa forma forma, a assimilação de culturas presente nessas manifestações promove inclusão e memória histórica. Desse modo, fica evidente que a crítica negativa ao uso de fantasias não faz sentido diante a da natureza espontânea desse processo. Ademais, não considera a importância da apropriação cultural à medida que contribui para o amadurecimento de uma sociedade. Sendo assim, o folião pode celebrar ainda mais mais, sabendo que a fantasia de índio não é instrumento de depreciação depreciação, mas sim de representatividade.","Demonstrar domínio da norma culta da língua escrita.; Compreender a proposta da redação e aplicar conceito das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo.; Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.; Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.; Elaborar a proposta de solução para o problema abordado, mostrando respeito aos valores humanos e considerando a diversidade sociocultural.",160; 200; 160; 200; 160,"1) Texto muito bem escrito, com um pequeno número de erros, sem muita importância, à exceção dos assinalados em vermelho.; 2) Houve completa compreensão do tema e o desenvolvimento do texto, de caráter argumentativo, é correta.; 3) O autor apresenta basicamente dois argumentos em defesa de seu ponto de vista: o de que as trocas culturais existem desde tempos antigos, o que é um argumento histórico sólido, e o de que as apropriações (trocas) culturais no carnaval é preservação, homenagem e alimenta a tolerância, o que já é um argumento menos sólido, pois o autor não apresenta fatos fundamentando esse argumento.; 4) Texto bastante coeso, apesar da prolixidade. Quanto aos recursos coesivos, há que notar a repetição (""dessa forma"", ""desse modo"") nos últimos parágrafos. Melhor seria substituir um deles por ""assim"".; 5) Conclusão coerente, mas na argumentação o autor não se estendeu sobre a espontaneidade do processo, nem sobre ""amadurecimento"" social. Falou na contribuição das trocas culturais para a formação das sociedades. Igualmente, transmitir tranquilidade aos foliões não é propriamente um dos objetivos do texto, que, no entanto, conclui-se com isso.",880
